observatory,mjd,plate,exposure,image_type,notes
lco,57943,9701,12,science,observer: moved the thread ring too far
lco,57943,9701,13,science,observer: moved the thread ring too far
lco,57946,9914,16,science,dome light turned on during exposure
lco,57968,9633,27,object,frame was taken and associated to this plate in error
lco,57973,9856,81,sky_flat,grouped with science exposures - removed
lco,57974,9816,67,sky_flat,grouped with science exposures - removed
lco,57975,9819,17,science,plate observed in poor conditions - crashed the telluric phase
lco,58116,10111,09,dome_flat,low signal - use flat 16
lco,58322,9847,12,object,poor signal from clouds
lco,58322,9847,13,object,poor signal from clouds
lco,58322,9847,14,object,poor signal from clouds
lco,58322,9847,15,object,poor signal from clouds
lco,58322,9847,16,object,poor signal from clouds
lco,58322,9847,17,object,poor signal from clouds
lco,58322,9847,18,object,poor signal from clouds
lco,58322,9839,22,object,poor signal from clouds
lco,58322,9839,23,object,poor signal from clouds
lco,58348,10124,48,object,aborted exposure - low signal - no dither pair
lco,58352,10138,60,object,multiple problems (see obs log) - not usable
lco,58352,10138,61,object,multiple problems (see obs log) - not usable
lco,58352,10138,62,object,multiple problems (see obs log) - not usable
lco,58386,10134,37,object,low signal due to weather
lco,58386,10134,38,object,low signal due to weather
lco,58387,11157,30,object,exposures aborted due to weather
lco,58387,11157,31,object,exposures aborted due to weather
lco,58505,10181,92,dome_flat,low signal - use flat 62
lco,58622,10577,68,object,69 underexposed due to weather - 68 is the only other dither pair
lco,58622,10577,69,object,underexposed due to weather - 68 is the only other dither pair
lco,58684,11156,73,dome_flat,erroneous dome flat due to human error
lco,58685,11893,78,object,low signal due to weather
lco,58685,11893,79,object,low signal due to weather
lco,58768,11907,63,object,aborted due to clouds
lco,58768,11907,64,object,aborted due to clouds
lco,58775,11806,12,object,failed exposures due to technical problems with the apogee actor
lco,58775,11806,13,object,failed exposures due to technical problems with the apogee actor
lco,58858,12198,09,object,restarted exposure - bad
lco,59159,12740,26,object,aborted due to clouds
lco,59159,12740,27,object,aborted due to clouds
lco,59159,12722,31,object,aborted due to clouds
